original_sentence_id	sentence	locale
c81871e8e90100f0bb981e00d720f1a0c2bb6b94d46957e32109d4277e8cba99	Both parties passed the five-percent threshold in their respective states.	en
c8266fd98f56222f83fe10cc5da5991b4428474f1c8f0e9cdf4a1195b961ffc2	For example, "Elephant" was recorded in about two weeks in London's Toe Rag Studio.	en
c82e4972998c7fd867adb542110f8d4c5859e1ea6625fdb82d3b5e1d10574191	The base also includes a tri-service "Multi-User Depot".	en
c83f4e1c27a83631ceb775977eb9a683ca2c1d5c49553d76bfee8c8b86532a56	The district replaced large portions of Calgary West and Calgary Glenmore.	en
c84aa8a7e2efbaa35c14750f9a2178890f3d0df4bcdb2e963617c43f1e1a9454	Kim won via a tenth round stoppage.	en
c84d0df98f1f7906392ac3b04b682b7f549334dae53aa1632b9251bab7d780bf	The party's president is Jorge Kahwagi.	en
c8502b6a75438fd50a6677648f9ca9227e9453e75b2ff448eae4a7003e0be13b	Digestive biscuits are common in the Northeast United States, served with tea.	en
c850a46e08a961e2d6e511d14ae5fd15a6f19e2cf66ebf3f8b9cd2b95f4ade9f	Notable Stockton landmarks seen in the film include the Stockton Ferry and Stockton Bridge.	en
c850cf6a10dfecf261a5ffb94b3a38471d3885317629dff085147b59867e5fbf	This led to James Hasty taking over as the Bellevue defensive coordinator.	en
c855129cdcdabe43381649e4c522475a39f99738bfac6822c1ccc2e53fdb1194	Rival Characters can also be unlocked and used in battle.	en
c8560477446a8d8717808f1c6181e2508d28213766e47e4663d0177c2687ae80	Its catchment area extends into County Leitrim.	en
c8572bba61f3819a316abfeec436aa35046e6ab6fd33021f5188842c791391b9	Under Count Theodosius' reforms, the command was reorganised slightly.	en
c857ce739038745aaff4b32ef5b340fde92c939df2051e375647a463ad491b1f	Geffen is an atheist.	en
c8597ea2f25cbfdadb269f003630251614fff7d2a988eceba2d99d944ab0f146	Programming consisted mostly of classical music.	en
c8599718a49cc1f346b432bfeb2d02bd9f46ad610a5d4a5e1e793a603f52ac78	This is finally the route which was designated as the border in the treaty.	en
c859d1a5b03fa078464efe10c7298a0ce44a0c1d2f1fe0d8d03bfc46b5349325	The film stars Kapoor, Pran and Padmini in lead roles.	en
c85ba0f314a76ef319a76ed3ea15a337806232e6ab6cc5ad67989c3f3af0d1b5	Soon, Cornelius, Irene, Barnaby, and Minnie are happily dancing.	en
c85c7a9465e4743af932f00e96d14613ec83ff9c545cd07f4ed72e6cc87386a1	Nor is it the sub-label of Voiceprint Records.	en
c85d44a925526d7f6c60e9b71d5aae43d61fded85fc1556b19046dc7fcb2b3e3	He travels there by plane.	en
c85e74743896356ca40582645ea30ce714c28ad10ab9e89f54d1d24ab860b8b6	He was very active in the Salvation Army, Rotary International and the United Way.	en
c85ef5088de12f273242339589d93280b8dbd6f17574e22f7ab7039f9d99ce17	Japanese records state this submarine was sunk by bombs and depth charges.	en
c8643de5aebbabb953e4dd5115a92a9f1d63da9615f283a70987ff813c5bb214	Each instrument needs to have a unique address.	en
c864d7df74318621d981ff55de6922389099f9603b638f612886df761c36b761	Above these three qualities is the eternal time.	en
c864dbdfb636eaab45133b8f359d1a354eb6ecc1822bfb1a8abe4623278d5ce0	More complex arrangements are practical where precise voltage regulation is required.	en
c864f4c0b4ba4f81526cc23806a5289901dd25dcc19a458da2659764f933f483	However, this movement toward free trade angered the conservative agrarian interests, especially the Junkers.	en
c8658c2636d61df64a60563fa2bac3154e235fcef3c32c034589e1df09a7b0ab	Its current councilmember is Democrat Arlyn Bradshaw.	en
c865cb7d65f481b0ae5e4a333bac1ba96eef24fcaedd8877783d399e310befc8	It is also used to create a crackle effect in pottery, usually wheel-thrown.	en
c865f3a60204b515b565011aa07c1bda708b622a00942e3c78e2256c108d55d8	Schofield soon fell ill and overall command passed to General Blunt.	en
c867bd11707e15e6f4ad7a3b1da11db510d5f34eab2d481dd0c69511157d2cfa	Its county seat is Athens, with which it is a consolidated city-county.	en
c867e511a7f1dd03903fec06015d9138f8710fe8d4bdc089e11648d691c51ec0	The local high school is Miller Technology High School.	en
c86825f4f53b77cb6511063a3028b89ece007d9af8d4743a762411d5e0e498d5	Hearst Castle, in San Simeon, California, used them as groundskeeper cars.	en
c86833d439468c2986729d5babf67778a2eaeb776c616b28aef7e883afaee093	A bullet also hit a second teen in the arm, but he survived.	en
c8687a25ada9c04750035f96326deb995e559a223f65429f3b71e377e79854a5	The current Headmaster is John Weeds.	en
c868e7c2e0dd947d907c14bb656079502923d858da57a8fae211ed3a2ffac812	At nine years old he began lessons with Harold Samuel.	en
c869fa31454214c5870c893d3c7dbda5bffa4a53477b4b75c6bffc02c9e3a889	The town in Surrey from which both titles derive is now spelt "Guildford".	en
c869ffa625d26cc938ba06c3a5f98649213cd0b35262c438f4c5f889a0ee06d8	A clicking noise can be heard when the sudden motion sensor activates.	en
c86aad11c34209098d976731bfddc046a6db1eda841a005fc4f8be3cb86fa1f9	She studied at a traditional private religious school.	en
c86c2b27f69eabdb2213f8fc7d291cf76a60a493f0e09ce4de1818d6136f72be	Anderson Island lies just south of McNeil Island.	en
c86c738658869cc6e55469d3ddf05d2e7279c7d49f39fee04999a0070de3de99	The two conflicts differ in several key points.	en
c86cd66b3746ec24ed0aee6983d3cae112126c3e7a22f35734ce59d731cac22c	When finally completed, she is everything Abner has ever dreamed of piloting.	en
c86d2cc5cf80a04ee94cd85263819e328c5a14486d322702c384f4c8c9b95848	Data from all the manufacturers are different, the difference is sometimes very large values.	en
c86dcecf4ee63e1ebe431736066e9d38d6011b0041e88891bbbc2071dd8de406	This season saw the introduction of the Scottish Football League with ten teams competing.	en
c86e15aa72b01fcc9b880b89ca34da779739aa62472e23e9a61100c6f430d48f	He is believed to have resided at Longwood early in his career.	en
c86e8360ee81e4839c5462a1a609a633ad1c7485a8df5daa63b72d1e131f2918	He was also cultivated an interest in rose cultivation.	en
c86edc5d39e2acec31f3ef043d20d2ad5faeac1762343fe3d0d2d4568e6c5f50	The association's official publication is The Journal of the American Dental Association.	en
c86f35b9e5de3fcb2e3f5a35657974c885437d6ace1077017a5380ffdc9047dd	They include some of the world's most abundant gastropod species.	en
c86f65df9b20b880bc891ddd1c270a34a609e2775efb7784715ccf4949828a7b	Gates also served on the board of Planned Parenthood.	en
c86fb1ae60165816d24a7898c13a685f7159b29207e3900035518c9258bedde9	Nicotine is used widely throughout the world for its stimulating and relaxing effects.	en
c86fc68d2ecde9d72c1413bc59bae433c3b694ea5ddd63934a1f4d6a54fd2620	He played English county cricket for Sussex, Warwickshire and Somerset.	en
c8702a3516b041e4d1fb86b2eade7b62465b77e5fc8b3987a56133102a5efa8d	Eleven members in attendance constitute a quorum.	en
c8705b3b530b87d4683a2d08d0ea0b6e3359c1472c4f079ff1c59b3c825b5245	A section of the Athlone to Mullingar Cycleway passes through the area.	en
c8706199254a2974c55aeae6b11245f8daaaac40f533d16cbf44df8ee290ff62	She assisted him in all labours including the hazards of the war.	en
c87115ffa01af333e4d8e0618645fd3aa1d487a7306981b54960cdc60828cd90	"Where Evil Grows" and "Good Friends?	en
c8716a8961b9ede200e4adffa50d1b4961d61cc1f81b4b5bae613c6f5d1cecdb	Whale toured with Tricky, Blur and Placebo.	en
c871fca6916becbf98ef1b80115cee7c6eea4a5e64865326ea898622f8e59193	It follows them around the international circuit of academic literary conferences.	en
c87210b8c7ef826d3e52a3cce17495e59e04fa3beb0ec928bfb2481d596ec7b9	The spa was born.	en
c8725c172807295fb7f3778d3bf56599f74ee487e18bd521ddd68700835027d9	After much hesitation, Gustav buys his brother a ticket and the adventure really begins.	en
c872e11e449e3de9e330ee41f82a973c976e05b7a65d74efb1fce2b618bf72b3	Pupils follow the National Curriculum.	en
c8732385ba191ff0da8fd1c4a60cd558197caf6ace47e4417b8ee64320678d79	The revision of the final scene between Isabel and Goodwood has been especially applauded.	en
c87360bcbceae59730baf68d75638cb63be7b64b3db3b60c451db3399a82d8ae	You still care about them.	en
c873da8b900d57122d5cc631ff4b1185249f413f9390baf6c59036c9de5bf642	For an issue to be justiciable the question must raise a legal issue.	en
c8740fec6f65e782e75ae28cde70864ec2f97e5b2539abdefe266bb0263e3841	Some aspects were added for dramatic purposes.	en
c8754b50ad8044560c1526e02be02486ae8b38dbe427cbf8ae85304504618558	It was said that her favorite "department store" was Van Cleef and Arpels.	en
c8756b043c6392cdbc3da2d72ab7da681ff8c16811ce5bfcc783d0cba7ea5ca5	Richard Schickel, writing in "Time" magazine praised the film and its cast.	en
c875b0359cff34c6ae6bb44cf6b1615d3a976fd8284bc7e4d0f8e38aab033f7b	There was a Loran-C station at Williams Lake.	en
c875cb92c75e7530d6273df874596e0a07b5a8699139d57a74af55bb74a3fe4b	Critics had mixed reviews.	en
c875e99afa0f1aebc3f6863989905ae431a973837270e0c31026142af3d251e5	Taylor married an Israeli woman and moved to Jerusalem.	en
c87600ce18c746c59396036d99cf4e1fcef1ef088665cc2bfc0e24c693e10286	In the film, Rambin played the lead love interest, Kim Moriarty.	en
c877ae3998c51f4fbd1bca666d3be90f230720e511f6bb18f2cd1f6b887c6b2b	Efforts to evade income tax decline when the amounts involved are lower.	en
